"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2752","Edit course","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1897","User login with wrong email or password:   ","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1521","Check displaying of empty courses list","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","1593","Registration with correct email, username and password","LMS system","2026-07-15","passed","2026-07-15","Registration","Authentication","",""
"","3308","User login with correct email and password","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1861","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1709","Check displaying of dashboard page","LMS system","2026-07-15","passed","2026-07-15","Dashboard","Dashboard","",""
"","0","test_regression_case","tests.pytest","2026-07-15","passed","2026-07-15","","test_markers","",""
"","1973","Create course","LMS system","2026-07-15","passed","2026-07-15","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-07-15","passed","2026-07-15","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-07-15","passed","2026-07-15","TestUserAuthentication","test_markers","",""
"","1824","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-07-15","passed","2026-07-15","","test_markers","",""
"","1526","Navigation from login page to registration page","LMS system","2026-07-15","passed","2026-07-15","Authorization","Authentication","",""
"","1","test_logout","tests.pytest","2026-07-15","passed","2026-07-15","TestUserAuthentication","test_markers","",""
